date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:39:14	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-6253f164-308801989c19e124;gz%22	https://skytex.dev/robots.txt		(from )
11:39:14	13727/13727	---M-Z	200	added ('OK')	text/html	etag:%22359f-62f8357f-ddf48d8a6520327a;gz%22	https://skytex.dev/	C:/Benim%20Web%20Sitem/Skytex/skytex.dev/index.html	(from )
11:39:14	15406/15406	---M-Z	200	added ('OK')	image/x-icon	etag:%223c2e-62f04516-e3cbcfb66d816bba;gz%22	https://skytex.dev/assets/favicon.ico	C:/Benim%20Web%20Sitem/Skytex/skytex.dev/assets/favicon.ico	(from https://skytex.dev/)
11:39:15	13162/13162	---M--	200	added ('OK')	image/png	etag:%22336a-62f04516-8c76331c2b8b91dc;;;%22	https://skytex.dev/assets/apple-touch-icon.png	C:/Benim%20Web%20Sitem/Skytex/skytex.dev/assets/apple-touch-icon.png	(from https://skytex.dev/)
11:39:15	1548/1548	---M--	200	added ('OK')	image/png	etag:%2260c-62f04516-a9bfb72abb4743a1;;;%22	https://skytex.dev/assets/favicon-32x32.png	C:/Benim%20Web%20Sitem/Skytex/skytex.dev/assets/favicon-32x32.png	(from https://skytex.dev/)
11:39:15	706/706	---M--	200	added ('OK')	image/png	etag:%222c2-62f04516-51175a05e3529c;;;%22	https://skytex.dev/assets/favicon-16x16.png	C:/Benim%20Web%20Sitem/Skytex/skytex.dev/assets/favicon-16x16.png	(from https://skytex.dev/)
11:39:15	263/263	---M--	200	added ('OK')	text/plain	etag:%22107-62f04516-6dabf29a6f119fe6;;;%22	https://skytex.dev/assets/site.webmanifest	C:/Benim%20Web%20Sitem/Skytex/skytex.dev/assets/site.webmanifest	(from https://skytex.dev/)
11:39:16	59299/59299	---M-Z	200	added ('OK')	text/css	etag:%22e7a3-62f04516-ab138aaca298aba5;gz%22	https://skytex.dev/assets/css/all.min.css	C:/Benim%20Web%20Sitem/Skytex/skytex.dev/assets/css/all.min.css	(from https://skytex.dev/)
11:39:16	20869/20869	---M-Z	200	added ('OK')	text/css	etag:%225185-62f04516-c6cc9d00ef6500ee;gz%22	https://skytex.dev/assets/css/style.css	C:/Benim%20Web%20Sitem/Skytex/skytex.dev/assets/css/style.css	(from https://skytex.dev/)
11:39:16	1262826/1262826	---MCZ	200	added ('OK')	application/x-javascript	etag:%221344ea-62f04516-ca9ed8c517424ac6;gz%22	https://skytex.dev/assets/js/all.js	C:/Benim%20Web%20Sitem/Skytex/skytex.dev/assets/js/all.js	(from https://skytex.dev/)
